Date : 2022-06-07 11:40:27
Directory : /Users/zhangyiyao/Desktop/project
Total : 220 files,  106090 codes, 587 comments, 861 blanks, all 107538 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/zhangyiyao/Desktop/project/pythonhandler/handler/userinfo.py                                | Python     |        120 |          0 |          4 |        124 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/main.py                                            | Python     |         44 |          0 |          6 |         50 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GATs/LS_LA.xlsx                              | Excel      |        272 |          0 |          1 |        273 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GATs/all_risk_analysis.xlsx                  | Excel      |         49 |          0 |          0 |         49 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GATs/group_return.xlsx                       | Excel      |        747 |          0 |          8 |        755 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GATs/ic_df.xlsx                              | Excel      |        150 |          0 |          0 |        150 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GATs/monthly_ic.xlsx                         | Excel      |         59 |          0 |          1 |         60 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GATs/monthly_risk_analysis.xlsx              | Excel      |        160 |          0 |          0 |        160 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GATs/port_info.xlsx                          | Excel      |      6,335 |          0 |         34 |      6,369 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GATs/pred_autocorr.xlsx                      | Excel      |        159 |          0 |          1 |        160 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GATs/report_info.xlsx                        | Excel      |        862 |          0 |          9 |        871 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GATs/scoreic_info.xlsx                       | Excel      |        363 |          0 |          3 |        366 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/LS_LA.xlsx                               | Excel      |        327 |          0 |          2 |        329 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/all_risk_analysis.xlsx                   | Excel      |         47 |          0 |          0 |         47 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/group_return.xlsx                        | Excel      |        844 |          0 |          5 |        849 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/ic_df.xlsx                               | Excel      |        145 |          0 |          0 |        145 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/monthly_ic.xlsx                          | Excel      |         50 |          0 |          0 |         50 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/monthly_risk_analysis.xlsx               | Excel      |        141 |          0 |          2 |        143 |
| /Users/zhangyiyao/Desktop/project/pythonhandler/model/GRU/port_info.xlsx                           | Excel      |      5,788 |          0 |         20 |      5,808 |
